make,fuel-type,body-style, curb-weight,num-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,convertible,2548.00,four,130.00,111.00,21.00,27.00,13495.00
alfa-romero,gas,convertible,2548.00,four,130.00,111.00,21.00,27.00,16500.00
alfa-romero,gas,hatchback,2823.00,six,152.00,154.00,19.00,26.00,16500.00
audi,gas,sedan,2337.00,four,109.00,102.00,24.00,30.00,13950.00
audi,gas,sedan,2824.00,five,136.00,115.00,18.00,22.00,17450.00
audi,gas,sedan,2507.00,five,136.00,110.00,19.00,25.00,15250.00
audi,gas,sedan,2844.00,five,136.00,110.00,19.00,25.00,17710.00
audi,gas,wagon,2954.00,five,136.00,110.00,19.00,25.00,18920.00
audi,gas,sedan,3086.00,five,131.00,140.00,17.00,20.00,23875.00
bmw,gas,sedan,2710.00,six,164.00,121.00,21.00,28.00,20970.00
bmw,gas,sedan,2765.00,six,164.00,121.00,21.00,28.00,21105.00
bmw,gas,sedan,3055.00,six,164.00,121.00,20.00,25.00,24565.00
bmw,gas,sedan,3230.00,six,209.00,182.00,16.00,22.00,30760.00
bmw,gas,sedan,3380.00,six,209.00,182.00,16.00,22.00,41315.00
bmw,gas,sedan,3505.00,six,209.00,182.00,15.00,20.00,36880.00
chevrolet,gas,hatchback,1488.00,three,61.00,48.00,47.00,53.00,5151.00
chevrolet,gas,hatchback,1874.00,four,90.00,70.00,38.00,43.00,6295.00
chevrolet,gas,sedan,1909.00,four,90.00,70.00,38.00,43.00,6575.00
dodge,gas,hatchback,1876.00,four,90.00,68.00,37.00,41.00,5572.00
dodge,gas,hatchback,1876.00,four,90.00,68.00,31.00,38.00,6377.00
dodge,gas,hatchback,2128.00,four,98.00,102.00,24.00,30.00,7957.00
dodge,gas,hatchback,1967.00,four,90.00,68.00,31.00,38.00,6229.00
dodge,gas,sedan,1989.00,four,90.00,68.00,31.00,38.00,6692.00
dodge,gas,sedan,1989.00,four,90.00,68.00,31.00,38.00,7609.00
dodge,gas,sedan,2191.00,four,98.00,102.00,24.00,30.00,8558.00
dodge,gas,wagon,2535.00,four,122.00,88.00,24.00,30.00,8921.00
dodge,gas,hatchback,2811.00,four,156.00,145.00,19.00,24.00,12964.00
honda,gas,hatchback,1713.00,four,92.00,58.00,49.00,54.00,6479.00
honda,gas,hatchback,1819.00,four,92.00,76.00,31.00,38.00,6855.00
honda,gas,hatchback,1837.00,four,79.00,60.00,38.00,42.00,5399.00
honda,gas,hatchback,1940.00,four,92.00,76.00,30.00,34.00,6529.00
honda,gas,hatchback,1956.00,four,92.00,76.00,30.00,34.00,7129.00
honda,gas,sedan,2010.00,four,92.00,76.00,30.00,34.00,7295.00
honda,gas,wagon,2024.00,four,92.00,76.00,30.00,34.00,7295.00
honda,gas,hatchback,2236.00,four,110.00,86.00,27.00,33.00,7895.00
honda,gas,hatchback,2289.00,four,110.00,86.00,27.00,33.00,9095.00
honda,gas,sedan,2304.00,four,110.00,86.00,27.00,33.00,8845.00
honda,gas,sedan,2372.00,four,110.00,86.00,27.00,33.00,10295.00
honda,gas,sedan,2465.00,four,110.00,101.00,24.00,28.00,12945.00
honda,gas,sedan,2293.00,four,110.00,100.00,25.00,31.00,10345.00
isuzu,gas,sedan,2337.00,four,111.00,78.00,24.00,29.00,6785.00
isuzu,gas,hatchback,2734.00,four,119.00,90.00,24.00,29.00,11048.00
jaguar,gas,sedan,3950.00,twelve,326.00,262.00,13.00,17.00,36000.00
mazda,gas,hatchback,1890.00,four,91.00,68.00,30.00,31.00,5195.00
mazda,gas,hatchback,1900.00,four,91.00,68.00,31.00,38.00,6095.00
mazda,gas,hatchback,1905.00,four,91.00,68.00,31.00,38.00,6795.00
mazda,gas,sedan,1945.00,four,91.00,68.00,31.00,38.00,6695.00
mazda,gas,sedan,1950.00,four,91.00,68.00,31.00,38.00,7395.00
mazda,gas,hatchback,2380.00,two,70.00,101.00,17.00,23.00,10945.00
mazda,gas,hatchback,2380.00,two,70.00,101.00,17.00,23.00,11845.00
mazda,gas,hatchback,2385.00,two,70.00,101.00,17.00,23.00,13645.00
mazda,gas,hatchback,2500.00,two,80.00,135.00,16.00,23.00,15645.00
mazda,gas,hatchback,2385.00,four,122.00,84.00,26.00,32.00,8845.00
mazda,gas,sedan,2410.00,four,122.00,84.00,26.00,32.00,8495.00
mazda,gas,hatchback,2385.00,four,122.00,84.00,26.00,32.00,10595.00
mazda,gas,sedan,2410.00,four,122.00,84.00,26.00,32.00,10245.00
mazda,diesel,sedan,2443.00,four,122.00,64.00,36.00,42.00,10795.00
mazda,gas,hatchback,2425.00,four,122.00,84.00,26.00,32.00,11245.00
mazda,gas,sedan,2670.00,four,140.00,120.00,19.00,27.00,18280.00
mazda,diesel,sedan,2700.00,four,134.00,72.00,31.00,39.00,18344.00
mercedes-benz,diesel,sedan,3515.00,five,183.00,123.00,22.00,25.00,25552.00
mercedes-benz,diesel,wagon,3750.00,five,183.00,123.00,22.00,25.00,28248.00
mercedes-benz,diesel,hardtop,3495.00,five,183.00,123.00,22.00,25.00,28176.00
mercedes-benz,diesel,sedan,3770.00,five,183.00,123.00,22.00,25.00,31600.00
mercedes-benz,gas,sedan,3740.00,eight,234.00,155.00,16.00,18.00,34184.00
mercedes-benz,gas,convertible,3685.00,eight,234.00,155.00,16.00,18.00,35056.00
mercedes-benz,gas,sedan,3900.00,eight,308.00,184.00,14.00,16.00,40960.00
mercedes-benz,gas,hardtop,3715.00,eight,304.00,184.00,14.00,16.00,45400.00
mercury,gas,hatchback,2910.00,four,140.00,175.00,19.00,24.00,16503.00
mitsubishi,gas,hatchback,1918.00,four,92.00,68.00,37.00,41.00,5389.00
mitsubishi,gas,hatchback,1944.00,four,92.00,68.00,31.00,38.00,6189.00
mitsubishi,gas,hatchback,2004.00,four,92.00,68.00,31.00,38.00,6669.00
mitsubishi,gas,hatchback,2145.00,four,98.00,102.00,24.00,30.00,7689.00
mitsubishi,gas,hatchback,2370.00,four,110.00,116.00,23.00,30.00,9959.00
mitsubishi,gas,hatchback,2328.00,four,122.00,88.00,25.00,32.00,8499.00
mitsubishi,gas,hatchback,2833.00,four,156.00,145.00,19.00,24.00,12629.00
mitsubishi,gas,hatchback,2921.00,four,156.00,145.00,19.00,24.00,14869.00
mitsubishi,gas,hatchback,2926.00,four,156.00,145.00,19.00,24.00,14489.00
mitsubishi,gas,sedan,2365.00,four,122.00,88.00,25.00,32.00,6989.00
mitsubishi,gas,sedan,2405.00,four,122.00,88.00,25.00,32.00,8189.00
mitsubishi,gas,sedan,2403.00,four,110.00,116.00,23.00,30.00,9279.00
mitsubishi,gas,sedan,2403.00,four,110.00,116.00,23.00,30.00,9279.00
